Codigo	Stream	Aquaculture	Month	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_ip	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
BRA2M18	Antas	Moderate	Marco	Meio	90	0	0	0	0	0	0	0	0	0	1136	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0
BRA3M18	Antas	Moderate	Marco	Foz	0	0	0	0	0	0	0	0	0	0	1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2805	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0
BRA1J18	Antas	Moderate	Junho	Cabeceira	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	5541	0	112	0	0	0	787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0
BRA2J18	Antas	Moderate	Junho	Meio	487	0	0	0	0	0	0	0	0	0	2281	0	0	0	0	0	211	0	0	0	193	0	0	0	0	0	0	0	0	0	1663	0	242	0	48	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1083	0	0	0	0	0	0	0
BRA3J18	Antas	Moderate	Junho	Foz	25278	0	0	0	0	0	0	0	0	0	147454	0	0	0	0	0	0	0	0	0	306	0	122	0	0	0	0	0	0	0	7222	0	122	61	122	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	98704	0	0	0	0	0	0	0	0	61	0	0	0	0	0	133	0
BRA1S18	Antas	Moderate	Setembro	Cabeceira	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	119	0	0	0	59	0	0	0	0	0	0	0	0	0	238	0	365	0	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0	0	0	0	962	0	0	0	0	0	119	0
BRA2S18	Antas	Moderate	Setembro	Meio	200	0	0	0	0	0	0	0	0	0	4359	0	0	0	0	0	109	0	0	0	50	0	0	0	0	0	0	0	0	0	653	0	565	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	251	0	0	0	0	0	200	0
BRA3S18	Antas	Moderate	Setembro	Foz	1332	0	0	0	0	0	0	90	0	0	20744	0	0	0	0	0	0	0	0	0	150	0	1332	0	0	0	0	0	0	0	120	0	0	90	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAL1D17	Bagre	No_propagule	Dezembro	Cabeceira	145	0	0	0	0	0	0	0	725	0	2471	0	0	1695	145	145	7860	0	2319	0	729	0	0	0	0	0	0	0	0	0	435	580	0	0	145	0	9879	0	0	0	0	1263	0	0	0	0	0	0	145	0	0	5084	0	145	0	0	0	0	0	0	0	0	4427	0	1783	0	0	0	290	0
FAL2D17	Bagre	No_propagule	Dezembro	Meio	132	0	0	0	0	0	0	0	673	44	0	0	0	44	480	0	0	0	44	0	132	167	0	88	0	0	0	0	0	0	96	0	132	0	0	0	1355	0	88	1191	0	221	0	0	0	0	0	0	88	0	0	736	0	0	167	2214	0	0	752	0	0	0	407	0	88	0	0	176	88	498
