Codigo	Riacho	Categoria	Mes	Ponto	Ae_pl 	An_sp	Ap_al	Ap_ca 	Ap_af	Ap_pi	Ap_vl	As_bo	As_fa	As_la	As_pa	Br_co 	Br_ex	Br_ih	Br_tu	Ca_ca	Ca_da	Ce_go	Ce_ih	Ch_go	Ch_ze	Co_ae	Co_re	Cr_br	Cy_mo	Ei_tr	Er_er	Fa_ha	Ga_gu	Ge_br	Gy_in	Gy_pa	Gy_sy	Ho_mb	Ho_mi	Ho_sp	Hy_an	Hy_sp	Hy_sp2	Hy_ti	Im_mi	Im_sc	Le_fr	Lo_pl	Mo_au	Mo_bo	Mo_gr	Mo_sa	Ol_pa	Ol_pi	Or_ni	Ot_po	Pa_na	Ph_ha	Ph_te	Pi_ar	Pi_av	Pi_gr	Pi_st	Po_re	Pr_li	Py_au	Rh_qu	Ri_la	Se_no	St_br	St_in	St_ma	Sy_ma	Ta_ne 
STF1D17	Santa_Fe	Intensa	Dezembro	Cabeceira	0	0	0	0	0	0	0	0	48	32	29	0	0	10	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0	80	188	0	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	0	0	13	0	0	0	22	19	0	0	0	0	3	0
STF2D17	Santa_Fe	Intensa	Dezembro	Meio	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	9	3	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	0
STF3D17	Santa_Fe	Intensa	Dezembro	Foz	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	7	0
STF1M18	Santa_Fe	Intensa	Marco	Cabeceira	0	0	0	0	0	0	0	0	79	29	12	0	0	12	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	129	287	0	0	0	0	0	0	0	0	0	4	25	0	0	0	8	0	0	0	8	0	0	0	4	8	0	0	0	0	0	0
STF2M18	Santa_Fe	Intensa	Marco	Meio	0	0	0	0	0	0	0	0	66	6	12	0	0	36	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	60	3	0	0	0	0	33	0	30	145	0	6	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	42	0	3	0	0	0	9	0
STF3M18	Santa_Fe	Intensa	Marco	Foz	0	0	0	0	0	0	0	0	3	10	0	0	0	0	10	0	0	0	0	0	0	3	0	3	0	0	0	0	0	7	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
STF1J18	Santa_Fe	Intensa	Junho	Cabeceira	3	0	0	0	0	0	0	0	99	11	0	0	0	7	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	11	0	160	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	32	0	0	0	35	3	0	0	0	0	3	0
STF2J18	Santa_Fe	Intensa	Junho	Meio	0	2	0	0	0	0	0	0	27	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	5	0	2	2	0	35	2	64	30	0	2	0	0	0	0	0	0	0	0	7	0	0	5	2	0	0	0	0	10	0	0	35	0	0	0	0	0	7	0
STF3J18	Santa_Fe	Intensa	Junho	Foz	0	0	0	0	0	0	0	0	3	24	0	0	0	0	10	0	0	0	0	0	0	20	0	7	0	0	0	0	0	17	3	20	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	14	0	0	0	0	0	3	0
STF1S18	Santa_Fe	Intensa	Setembro	Cabeceira	4	0	0	0	0	0	0	0	68	20	32	0	0	24	0	0	12	0	8	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	4	0	360	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	52	24	0	0	0	0	4	0
STF2S18	Santa_Fe	Intensa	Setembro	Meio	3	0	0	0	0	0	0	0	161	54	27	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	3	0	0	30	0	3	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	12	0	0	51	0	0	0	0	0	12	0
STF3S18	Santa_Fe	Intensa	Setembro	Foz	0	0	0	0	0	0	0	0	0	36	0	0	0	0	16	0	0	0	0	0	0	0	0	3	0	0	0	0	0	10	13	3	0	0	0	0	6	0	0	3	0	0	0	20	0	0	0	0	0	0	6	0	0	0	0	0	6	0	0	0	10	0	3	0	10	0	6	0	3	0
TAP1D17	Tapera	Ausente	Dezembro	Cabeceira	5	0	0	0	0	0	0	0	189	16	5	0	21	21	47	0	0	0	37	0	0	0	0	0	5	0	0	0	0	0	10	10	0	0	5	0	16	0	0	0	0	47	0	0	0	0	0	0	0	42	0	0	0	0	0	0	26	0	21	0	0	0	37	0	5	0	0	0	0	0
TAP2D17	Tapera	Ausente	Dezembro	Meio	0	0	0	0	0	0	0	0	146	30	5	0	81	5	35	0	0	0	10	10	25	10	0	0	5	0	0	5	0	0	5	0	0	0	0	0	15	0	0	0	0	71	0	0	0	5	0	0	0	0	0	5	0	0	0	0	71	5	5	0	0	0	20	0	50	10	0	0	5	0
